date,run,weekly,Total,bike,weekly,total,swim,weekly,total,total,description,,,,,,points,Points,,,,
11/21/2009,3,3,3,,,,,,0,3,run up O-Hill,,,,,,,,,,,
11/22/2009,6,9,9,,0,0,,0,0,6,run w/hannah,,,,,,,,,,,
11/23/2009,,9,9,,0,0,,0,0,0,,,,,,,,,,,,
11/24/2009,4,13,13,,0,0,2000,2000,2000,5.25,swim in morn,,,"2mi by self, 2 w/daddy",,,,,,,,
11/25/2009,2,15,15,,0,0,,2000,2000,2,with the puppies,,,,,,,,,,,
11/26/2009,,15,15,,0,0,,2000,2000,0,,,,,,,,,,,,
11/27/2009,,15,15,,0,0,,2000,2000,0,,,,,,,,,,,,
11/28/2009,,12,15,,0,0,,2000,2000,0,,,,,,,,,,,,
11/29/2009,4,10,19,,0,0,,2000,2000,4,,,,,,,,,,,,
11/30/2009,3,13,22,8,8,8,,2000,2000,11,2mi on stair master,,,,,,,,,,,
12/1/2009,4,13,26,,8,8,2050,2050,4050,5.28125,swim in morn,,,run up tempo,,,6,6,6.733333333,,,
12/2/2009,,11,26,,8,8,,2050,4050,0,,,,,,,,6,6.733333333,,,
12/3/2009,2.5,13.5,28.5,,8,8,,2050,4050,2.5,in… swim class,,,,,,2,8,9.233333333,,,
12/4/2009,,13.5,28.5,,8,8,,2050,4050,0,,,,,,,,8,9.233333333,,,
12/5/2009,5,18.5,33.5,,8,8,,2050,4050,5,easy in the snow,,,,,,5,13,14.23333333,,,
12/6/2009,7,21.5,40.5,,8,8,,2050,4050,7,6mi tmepo,,,,,,7,20,21.23333333,,,
12/7/2009,6.5,25,47,10,10,18,,2050,4050,16.5,,,,,,,8,28,29.73333333,,,
12/8/2009,1.5,22.5,48.5,,10,18,500,500,4550,1.8125,,,,,,,2,30,31.9,,,
12/9/2009,,22.5,48.5,,10,18,,500,4550,0,,,,,,,,30,31.9,,,
12/10/2009,2.25,22.25,50.75,11,21,29,,500,4550,13.25,,,,,,,4,34,36.35,,,
12/11/2009,1,23.25,51.75,5,26,34,,500,4550,6,,,,,,,2,36,38.35,,,
12/12/2009,,18.25,51.75,,26,34,,500,4550,0,,,,,,,,36,38.35,,,
12/13/2009,2,13.25,53.75,7,33,41,,500,4550,9,NEW SHOES,,,,,,3,39,41.75,,,
12/14/2009,8.5,15.25,62.25,,23,41,,500,4550,8.5,"2 on eliptical, 6 w/shannon",,,,1500m erg,,8,47,50.25,,,
12/15/2009,2.5,16.25,64.75,,23,41,2000,2000,6550,3.75,,,,,,,4,51,55.41666667,,,
12/16/2009,5,21.25,69.75,,23,41,,2000,6550,5,,,,,,,5,56,60.41666667,,,
12/17/2009,5,24,74.75,,12,41,,2000,6550,5,,,,,,,5,61,65.41666667,,,
12/18/2009,,23,74.75,,7,41,,2000,6550,0,,,,,,,,61,65.41666667,,,
12/19/2009,,23,74.75,,7,41,,2000,6550,0,,,,,,,,61,65.41666667,,,
12/20/2009,2.25,23.25,77,,0,41,,2000,6550,2.25,,,,,,,2,63,67.66666667,,,
12/21/2009,,14.75,77,,0,41,,2000,6550,0,,,,,,,,63,67.66666667,,,
12/22/2009,,12.25,77,,0,41,,0,6550,0,,,,,,,,63,67.66666667,,,
12/23/2009,3.5,10.75,80.5,,0,41,,0,6550,3.5,,,,,,,5,68,71.16666667,,,
12/24/2009,,5.75,80.5,,0,41,,0,6550,0,,,,,,,,68,71.16666667,,,
12/25/2009,,5.75,80.5,,0,41,,0,6550,0,,,,,,,1,69,71.16666667,,,
12/26/2009,,5.75,80.5,,0,41,,0,6550,0,,,,,,,,69,71.16666667,,,
12/27/2009,1,4.5,81.5,,0,41,,0,6550,1,,,,,,,1,70,72.16666667,,,
12/28/2009,9,13.5,90.5,,0,41,,0,6550,9,,,,,,,8,78,81.16666667,,,
12/29/2009,4,17.5,94.5,,0,41,,0,6550,4,,,,,,,4,82,85.16666667,,,
12/30/2009,,14,94.5,10,10,51,,0,6550,10,,,,,,,2,84,87.16666667,,,
12/31/2009,4,18,98.5,,10,51,,0,6550,4,,,,,,,4,88,91.16666667,,,
1/1/2010,8,26,8,,10,,,0,,8,,,,,,,,,,,,
1/2/2010,4,30,12,,10,0,,0,0,4,,,,,,,,,,,,
1/3/2010,11.5,40.5,23.5,,10,0,,0,0,11.5,sub 9 min pace,,,,,,,,,,,
1/4/2010,,31.5,23.5,,10,0,,0,0,0,,,,,,,,,,,,
1/5/2010,5,32.5,28.5,,10,0,,0,0,5,,,,,,,,,,,,
1/6/2010,6,38.5,34.5,,0,0,,0,0,6,,,,,,,,,,,,
1/7/2010,8,42.5,42.5,,0,0,,0,0,8,3 at 21:49,,,goal: take off 1min per mile,,,,,,,,
1/8/2010,,34.5,42.5,,0,0,,0,0,0,,,,,,,,,,,,
1/9/2010,5.5,36,48,,0,0,,0,0,5.5,,,,,,,,,,,,
1/10/2010,13.5,38,61.5,,0,0,,0,0,13.5,first 7.68 with xc girls,,,,icy,,,,,,,
1/11/2010,5,43,66.5,,0,0,,0,0,5,nice and speedy,,,relaxed,"loop@ B.F, may be short",,,,,,,
1/12/2010,6,44,72.5,,0,0,,0,0,6,,,,,,,,,,,,
1/13/2010,5.5,43.5,78,,0,0,,0,0,5.5,4 mi tempo,,,,,,,,,,,
1/14/2010,5,40.5,83,,0,0,,0,0,5,back in cville,,,,,,,,,,,
1/15/2010,4.5,45,87.5,,0,0,,0,0,4.5,,,,,,,,,,,,
1/16/2010,15,54.5,102.5,,0,0,,0,0,15,weather to be bad tomorrow,,,,,,,,,,,
1/17/2010,5,46,107.5,,0,0,,0,0,5,not too bad. Rainy but pleasant,,,,slow,,,,,,,
1/18/2010,,41,107.5,,0,0,,0,0,0,,,,,,,,,,,,
1/19/2010,5,40,112.5,,0,0,,0,0,5,,,,,,,,,,,,
1/20/2010,5,39.5,117.5,,0,0,,0,0,5,,,,,,,,,,,,
1/21/2010,12.5,47,130,,0,0,1500,1500,1500,13.4375,felt good so went longer,,,,,,,,,,,
1/22/2010,3,45.5,133,,0,0,,1500,1500,3,,,,,,,,,,,,
1/23/2010,8,38.5,141,,0,0,,1500,1500,8,2x run,,"5.5 morn, 2.5 eve",,,,,,,,,
1/24/2010,15,48.5,156,,0,0,,1500,1500,15,in 2:15:10,,felt good and strong,,,,,,,,,
1/25/2010,8.5,57,164.5,,0,0,,1500,1500,8.5,5 in morn,,ice shins,3.5+ with shannon,,,,,,,,
1/26/2010,,52,164.5,,0,0,2300,3800,3800,1.4375,morning swim w/triclub,,,,very very slow comparitively,,,,,,,
1/27/2010,,47,164.5,,0,0,,3800,3800,0,,,,,,,,,,,,
1/28/2010,8,42.5,172.5,,0,0,,2300,3800,8,to grocery store and back,,,,,,,,,,,
1/29/2010,,39.5,172.5,,0,0,,2300,3800,0,,,,,,,,,,,,
1/30/2010,,31.5,172.5,,0,0,,2300,3800,0,,,,,,,,,,,,
1/31/2010,,16.5,172.5,,0,0,,2300,3800,0,,,,,,,,,,,,
2/1/2010,12,20,184.5,,0,0,,2300,3800,12,with kimber,,,"fell hard on knee, and sluggish, cut out 6mi",,,,,,,,
2/2/2010,,20,184.5,,0,0,2700,2700,6500,1.6875,2700 in less than en hour no less,,,,,,,,,,,
2/3/2010,2.75,22.75,187.25,,0,0,,2700,6500,2.75,,,,,,,,,,,,
