
date,run,weekly,Total,bike,weekly,total,swim,weekly,total,description,
1/1/2015,2.7,2.7,2.7,,,,,,0,,
1/2/2015,5.4,8.1,8.1,,0,0,,0,0,,
1/3/2015,,8.1,8.1,,0,0,,0,0,,
1/4/2015,22,30.1,30.1,,0,0,,0,0,,
1/5/2015,,30.1,30.1,,0,0,,0,0,,
1/6/2015,5,35.1,35.1,,0,0,,0,0,,
1/7/2015,3,38.1,38.1,,0,0,,0,0,,
1/8/2015,1.1,36.5,39.2,,0,0,,0,0,,
1/9/2015,,31.1,39.2,,0,0,,0,0,,
1/10/2015,10.1,41.2,49.3,,0,0,,0,0,,
1/11/2015,12.6,31.8,61.9,,0,0,,0,0,,2053.954545
1/12/2015,,31.8,61.9,,0,0,,0,0,,
1/13/2015,7,33.8,68.9,,0,0,,0,0,,
1/14/2015,3,33.8,71.9,,0,0,,0,0,,
1/15/2015,6.3,39,78.2,,0,0,,0,0,,1679
1/16/2015,,39,78.2,,0,0,,0,0,,
1/17/2015,,28.9,78.2,,0,0,,0,0,,
1/18/2015,24,40.3,102.2,,0,0,,0,0,Long run - felt awesome. 3:42,
1/19/2015,,40.3,102.2,,0,0,,0,0,,
1/20/2015,3,36.3,105.2,,0,0,,0,0,quite slow,NewShoes
1/21/2015,7.2,40.5,112.4,,0,0,,0,0,felt pretty good,1953.619048
1/22/2015,3,37.2,115.4,,0,0,,0,0,My body was mad at me,
1/23/2015,,37.2,115.4,,0,0,,0,0,,
1/24/2015,15.8,53,131.2,,0,0,,0,0,"shorter long run, Old Mills",1995.333333
1/25/2015,7.8,36.8,139,,0,0,,0,0,"supposed to be 10, but tired and on my feet all day",2029.4
1/26/2015,,36.8,139,,0,0,,0,0,,
1/27/2015,6.1,39.9,145.1,,0,0,,0,0,,
1/28/2015,,32.7,145.1,,0,0,,0,0,,
1/29/2015,27.1,56.8,172.2,,0,0,,0,0,,2167.344828
1/30/2015,,56.8,172.2,,0,0,,0,0,,
1/31/2015,4.2,45.2,176.4,,0,0,,0,0,,
2/1/2015,,37.4,176.4,,0,0,,0,0,,
2/2/2015,3.7,41.1,180.1,,0,0,,0,0,,
2/3/2015,1.1,36.1,181.2,,0,0,,0,0,,
2/4/2015,7,43.1,188.2,,0,0,,0,0,,
2/5/2015,,16,188.2,,0,0,,0,0,sick,
2/6/2015,,16,188.2,,0,0,,0,0,sick,
2/7/2015,,11.8,188.2,,0,0,,0,0,sick,
2/8/2015,5,16.8,193.2,,0,0,,0,0,,
2/9/2015,1.6,14.7,194.8,,0,0,,0,0,,
2/10/2015,6.5,20.1,201.3,,0,0,,0,0,,1789.390244
2/11/2015,,13.1,201.3,,0,0,,0,0,,
2/12/2015,3,16.1,204.3,,0,0,,0,0,,
2/13/2015,,16.1,204.3,,0,0,,0,0,,
2/14/2015,32,48.1,236.3,,0,0,,0,0,holiday lake 50K 5:43:12,1916.655556
2/15/2015,,43.1,236.3,,0,0,,0,0,,
